Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,380,870,1560,2450,3540,4830,6320,8010,9900,11990,14280,16770,19460,22350,25440,28730,32220,35910,39800,43890,48180,52670,57360,62250,67340,72630,78120,83810,89700,95790,102080,108570,115260,122150,129240,136530,144020,151710,159600,167690,175980,184470,193160,202050,211140,220430,229920,239610,249500
Insertion Sort,9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169,179,189,199,209,219,229,239,249,259,269,279,289,299,309,319,329,339,349,359,369,379,389,399,409,419,429,439,449,459,469,479,489,499,599,899,1399,2099,2999,4099,5399,6899,8599,10499,12599,14899,17399,20099,22999,26099,29399,32899,36599,40499,44599,48899,53399,58099,62999,68099,73399,78899,84599,90499,96599,102899,109399,116099,122999,130099,137399,144899,152599,160499,168599,176899,185399,194099,202999,212099,221399,230899,240599,250499
Selection Sort,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
Shell Sort (N/2^k),22,62,94,162,203,244,353,402,454,503,555,604,782,843,904,962,1024,1084,1146,1203,1264,1325,1385,1444,1506,1822,1894,1963,2033,2104,2175,2242,2314,2384,2456,2524,2595,2666,2734,2803,2875,2944,3016,3085,3154,3225,3296,3364,3436,3506,3602,4206,4323,4439,4557,4678,4782,4905,5038,5182,5303,5434,5574,5650,5797,5909,6031,6126,6313,6445,6535,6663,6836,7010,7160,7232,7364,7504,7661,7747,7923,8025,8248,8313,8483,8670,8805,8957,8959,9122,9257,9435,9588,9666,9870,10053,10013,10305,10444,10338
Shell Bubble Sort (N/2^k),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,44,80,115,153,195,217,262,313,378,419,469,528,528,593,625,665,682,788,839,850,899,990,1085,1153,1146,1201,1260,1336,1344,1438,1460,1601,1589,1678,1784,1839,1912,1832,1918,1971,2070,2143,2140,2263,2369,2247,2459,2516,2332
Shell Selection Sort (N/2^k),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Hibbard),19,54,94,143,193,243,300,360,420,480,540,600,663,733,803,873,943,1013,1083,1153,1223,1293,1363,1433,1503,1578,1658,1738,1818,1898,1978,2058,2138,2218,2298,2378,2458,2538,2618,2698,2778,2858,2938,3018,3098,3178,3258,3338,3418,3498,3602,3728,3843,3981,4117,4247,4365,4507,4673,4813,4922,5059,5189,5346,5481,5598,5807,5956,6018,6221,6368,6511,6644,6727,6942,7068,7118,7333,7466,7634,7785,7858,8120,8275,8341,8579,8741,8861,8996,9102,9322,9471,9554,9765,9874,10057,10204,10195,10512,10656
Shell Bubble Sort (Hibbard),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,61,86,134,180,220,248,300,376,426,445,492,532,599,644,671,790,849,821,934,991,1044,1087,1080,1205,1241,1201,1326,1369,1447,1508,1491,1663,1728,1704,1852,1924,1954,1999,2015,2145,2204,2197,2318,2337,2430,2487,2388,2615,2669
Shell Selection Sort (Hibbard),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Knuth),15,35,55,102,132,162,192,222,252,282,312,422,462,502,542,582,622,662,702,742,782,822,862,902,942,982,1022,1062,1102,1142,1182,1222,1262,1302,1342,1382,1671,1721,1771,1821,1871,1921,1971,2021,2071,2121,2171,2221,2271,2321,2399,2487,2589,2673,2775,2879,3008,3111,3213,3309,3420,3501,3607,3698,3828,3928,4055,4164,4326,4437,4570,4681,4818,4915,5038,5153,5302,5433,5564,5709,5870,6038,6153,6319,6448,6612,6699,6884,7002,7208,7305,7517,7651,7876,7977,8197,8301,8511,8595,8820
