Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,45,190,435,780,1225,1770,2415,3160,4005,4950,5995,7140,8385,9730,11175,12720,14365,16110,17955,19900,21945,24090,26335,28680,31125,33670,36315,39060,41905,44850,47895,51040,54285,57630,61075,64620,68265,72010,75855,79800,83845,87990,92235,96580,101025,105570,110215,114960,119805,124750,129795,134940,140185,145530,150975,156520,162165,167910,173755,179700,185745,191890,198135,204480,210925,217470,224115,230860,237705,244650,251695,258840,266085,273430,280875,288420,296065,303810,311655,319600,327645,335790,344035,352380,360825,369370,378015,386760,395605,404550,413595,422740,431985,441330,450775,460320,469965,479710,489555,499500
Insertion Sort,14,57,108,164,234,304,374,504,647,697,747,803,873,929,1029,1129,1225,1343,1473,1601,1741,1881,2003,2173,2334,2501,2682,2873,3082,3419,3629,3809,4327,4577,4819,5079,5339,5677,5927,6169,6408,6668,6928,7559,7789,8079,8353,8653,8953,9253,9554,9853,10193,10913,11984,12695,13005,13433,13799,14348,14705,15250,15610,15860,17307,17520,17949,18157,19044,19264,19905,20425,21104,21953,22115,22900,23070,23240,23410,23590,24015,24185,24882,25076,26912,27022,27484,28139,28975,31323,31592,32980,33000,33020,33041,33569,33808,33818,33828,33886
Selection Sort,45,190,435,780,1225,1770,2415,3160,4005,4950,5995,7140,8385,9730,11175,12720,14365,16110,17955,19900,21945,24090,26335,28680,31125,33670,36315,39060,41905,44850,47895,51040,54285,57630,61075,64620,68265,72010,75855,79800,83845,87990,92235,96580,101025,105570,110215,114960,119805,124750,129795,134940,140185,145530,150975,156520,162165,167910,173755,179700,185745,191890,198135,204480,210925,217470,224115,230860,237705,244650,251695,258840,266085,273430,280875,288420,296065,303810,311655,319600,327645,335790,344035,352380,360825,369370,378015,386760,395605,404550,413595,422740,431985,441330,450775,460320,469965,479710,489555,499500
Shell Sort (N/2^k),29,84,140,227,339,352,501,583,642,779,893,867,1034,1148,1260,1358,1383,1509,1617,1807,1771,2008,2009,2042,2176,2602,2755,2662,2980,2970,3115,3232,3369,3426,3646,3741,3638,3878,4718,4278,4502,4370,4680,4875,4966,4952,4928,5120,5263,5209,5346,6335,6251,6422,6557,6605,6891,7028,7141,6947,7315,7380,7295,7997,8163,8128,8426,7912,8132,8476,8622,8906,8759,8920,8886,9496,12097,10850,10208,10273,10581,10523,10247,10355,10397,10553,10905,11603,11313,11994,11784,11744,11684,11660,11876,12032,12246,12545,12182,12158
Shell Bubble Sort (N/2^k),96,536,1209,2826,4409,6354,10986,14226,18117,22209,27012,31974,45696,53091,61012,69066,78222,87642,97920,107859,119032,130797,142849,155274,168860,215476,232799,250071,268152,287212,306868,326026,347257,368582,391135,413082,436590,460820,484479,509259,535710,561712,589475,616777,644549,673919,703855,733194,764865,796360,829353,994566,1033579,1073444,1113426,1153771,1196297,1237477,1281505,1324762,1369138,1414963,1461424,1505706,1554232,1602412,1652460,1700872,1751775,1803560,1854577,1906542,1961098,2014455,2070523,2125410,2179229,2236944,2295265,2352259,2412815,2472755,2534833,2593882,2656655,2720340,2783772,2847357,2913943,2977124,3045202,3111689,3179505,3249140,3319351,3386874,3459460,3531160,3605268,3676610
Shell Selection Sort (N/2^k),70,320,635,1380,1906,2688,4600,5760,7259,7919,9548,11109,16314,18884,21496,23600,26619,29662,33024,32369,35521,38951,41774,45275,49106,66288,71466,76648,81482,87171,92921,95680,101739,107832,114251,120080,126690,133605,124787,131069,137690,143758,150669,157556,161679,168920,176190,183018,190711,198412,206410,267480,277720,288280,298352,309104,320237,328528,339945,351371,362490,374454,386482,385600,397739,409912,422421,434380,447103,460139,470397,483549,497066,510080,523951,537820,489850,502638,515462,527869,541143,554431,568027,578800,592519,606522,620024,634171,648656,650756,665289,679799,693979,708968,723986,736389,751809,767234,782959,798131
Shell Sort (Hibbard),24,80,140,210,284,357,451,541,660,748,833,909,1002,1084,1190,1289,1384,1492,1588,1710,1802,1920,2034,2125,2231,2353,2469,2594,2718,2798,2924,3044,3118,3250,3384,3508,3627,3752,3888,3991,4122,4240,4372,4478,4587,4711,4869,4967,5112,5225,5346,5492,5604,5748,6003,6176,6330,6456,6572,6781,6894,6993,7124,7272,7374,7513,7662,7772,7975,8133,8338,8514,8753,8819,8931,9077,9202,9323,9447,9591,9762,9894,9997,10107,10357,10481,10627,10805,10968,11154,11251,11427,11533,11641,11748,11823,11956,12056,12156,12274
Shell Bubble Sort (Hibbard),79,449,1209,2414,4119,6324,9057,12387,16317,20847,25977,31707,38043,45058,52773,61188,70303,80118,90633,101848,113763,126378,139693,153708,168423,183853,200073,217093,234913,253533,272953,293173,314193,336013,358633,382053,406273,431293,457113,483733,511153,539373,568393,598213,628833,660253,692473,725493,759313,793933,829353,865618,902783,940848,979813,1019678,1060443,1102108,1144673,1188138,1232503,1277768,1323933,1370998,1418963,1467828,1517593,1568258,1619823,1672288,1725653,1779918,1835083,1891148,1948113,2005978,2064743,2124408,2184973,2246438,2308803,2372068,2436233,2501298,2567263,2634128,2701893,2770558,2840123,2910588,2981953,3054218,3127383,3201448,3276413,3352278,3429043,3506708,3585273,3664738
Shell Selection Sort (Hibbard),60,271,635,1166,1850,2687,3696,4864,6183,7668,9308,11100,13064,15196,17482,19930,22536,25294,28215,31304,34544,37947,41508,45222,49096,53149,57366,61741,66279,70968,75816,80831,86003,91334,96825,102471,108274,114240,120377,126673,133129,139739,146509,153436,160529,167781,175190,182757,190481,198363,206410,214647,223040,231592,240303,249167,258196,267389,276736,286244,295910,305729,315709,325864,336175,346648,357280,368064,379009,390120,401388,412814,424402,436142,448040,460105,472340,484741,497304,510020,522892,535929,549128,562481,576001,589672,603498,617490,631643,645961,660445,675083,689872,704830,719945,735217,750657,766249,781995,797906
Shell Sort (Knuth),22,73,124,191,259,329,397,442,480,540,600,734,810,872,954,1032,1108,1186,1272,1366,1454,1526,1602,1686,1783,1844,1941,2030,2135,2164,2264,2338,2451,2521,2617,2679,3120,3274,3374,3530,3615,3707,3777,3866,3926,4040,4144,4246,4328,4434,4551,4658,4718,4858,5092,5253,5341,5497,5601,5678,5773,5892,6032,6124,6179,6286,6415,6495,6630,6746,6843,6923,7004,7137,7225,7400,7512,7612,7710,7814,7963,8061,8160,8272,8432,8522,8610,8711,8941,9024,9023,9105,9171,9237,9302,9418,9499,9559,9619,9687
