Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,14,57,108,164,234,304,374,504,647,697,747,803,873,929,1029,1129,1225,1343,1473,1601,1741,1881,2003,2173,2334,2501,2682,2873,3082,3419,3629,3809,4327,4577,4819,5079,5339,5677,5927,6169,6408,6668,6928,7559,7789,8079,8353,8653,8953,9253,9554,9853,10193,10913,11984,12695,13005,13433,13799,14348,14705,15250,15610,15860,17307,17520,17949,18157,19044,19264,19905,20425,21104,21953,22115,22900,23070,23240,23410,23590,24015,24185,24882,25076,26912,27022,27484,28139,28975,31323,31592,32980,33000,33020,33041,33569,33808,33818,33828,33886
Insertion Sort,23,76,137,203,283,363,443,583,736,796,856,922,1002,1068,1178,1288,1394,1522,1662,1800,1950,2100,2232,2412,2583,2760,2951,3152,3371,3718,3938,4128,4656,4916,5168,5438,5708,6056,6316,6568,6817,7087,7357,7998,8238,8538,8822,9132,9442,9752,10063,10372,10722,11452,12533,13254,13574,14012,14388,14947,15314,15869,16239,16499,17956,18179,18618,18836,19733,19963,20614,21144,21833,22692,22864,23659,23839,24019,24199,24389,24824,25004,25711,25915,27761,27881,28353,29018,29864,32222,32501,33899,33929,33959,33990,34528,34777,34797,34817,34885
Selection Sort,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
Shell Sort (N/2^k),32,91,150,238,351,368,519,604,663,802,924,891,1057,1176,1285,1383,1411,1535,1651,1834,1803,2044,2042,2073,2208,2631,2792,2700,3013,3005,3152,3267,3409,3467,3687,3781,3680,3929,4761,4320,4549,4416,4726,4928,5017,5004,4981,5171,5321,5261,5402,6385,6308,6487,6618,6672,6956,7090,7206,7006,7381,7443,7366,8056,8233,8192,8497,7975,8195,8548,8694,8973,8828,8994,8966,9580,12175,10926,10283,10345,10662,10598,10329,10424,10467,10624,10986,11684,11404,12083,11874,11831,11773,11750,11972,12115,12336,12636,12276,12240
Shell Bubble Sort (N/2^k),10,29,56,76,148,124,166,202,209,299,369,287,275,333,381,421,387,451,505,631,539,719,657,629,702,809,898,737,980,901,977,1025,1095,1083,1231,1257,1085,1263,2027,1517,1674,1472,1710,1843,1863,1779,1685,1807,1885,1755,1824,2223,2065,2163,2214,2189,2391,2447,2481,2202,2497,2478,2320,2934,3029,2908,3131,2531,2670,2942,3009,3209,2982,3069,2959,3494,6012,4682,3958,3942,4177,4033,3682,3700,3662,3738,4020,4639,4277,4879,4588,4466,4328,4224,4365,4431,4570,4790,4348,4234
Shell Selection Sort (N/2^k),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Hibbard),27,87,150,223,299,373,470,564,689,777,863,939,1032,1116,1222,1322,1418,1526,1622,1744,1836,1954,2068,2160,2267,2389,2508,2633,2758,2839,2965,3085,3159,3291,3425,3549,3669,3795,3931,4037,4168,4286,4420,4529,4639,4763,4921,5021,5167,5281,5402,5548,5662,5806,6061,6234,6388,6514,6630,6839,6952,7051,7183,7331,7434,7573,7722,7832,8037,8195,8400,8576,8815,8882,8994,9143,9269,9391,9515,9659,9830,9962,10067,10177,10429,10553,10699,10878,11042,11232,11329,11507,11613,11721,11828,11904,12037,12137,12237,12355
Shell Bubble Sort (Hibbard),8,33,56,80,106,130,170,204,269,297,323,339,369,383,419,449,475,513,539,591,613,661,705,727,764,811,850,895,940,941,987,1027,1021,1073,1127,1171,1211,1257,1313,1339,1390,1428,1482,1511,1541,1585,1663,1683,1749,1783,1824,1881,1905,1959,2124,2207,2271,2307,2333,2452,2475,2484,2526,2584,2597,2646,2705,2725,2840,2908,3023,3109,3258,3235,3257,3316,3352,3384,3418,3472,3553,3595,3610,3630,3792,3826,3882,3971,4045,4145,4152,4240,4256,4274,4291,4277,4320,4330,4340,4368
Shell Selection Sort (Hibbard),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Knuth),25,76,127,200,268,338,406,452,493,553,613,753,829,891,973,1051,1127,1205,1291,1385,1473,1545,1621,1705,1802,1863,1960,2049,2154,2183,2283,2357,2471,2541,2637,2699,3148,3302,3402,3558,3643,3735,3805,3896,3956,4070,4174,4276,4358,4464,4581,4688,4748,4888,5123,5284,5372,5528,5632,5709,5804,5923,6063,6155,6210,6317,6446,6526,6663,6779,6876,6956,7037,7170,7258,7433,7545,7645,7743,7847,7996,8094,8193,8305,8465,8555,8643,8744,8974,9058,9057,9139,9205,9271,9336,9452,9533,9593,9653,9721
