Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,45,190,435,780,1225,1770,2415,3160,4005,4950,5995,7140,8385,9730,11175,12720,14365,16110,17955,19900,21945,24090,26335,28680,31125,33670,36315,39060,41905,44850,47895,51040,54285,57630,61075,64620,68265,72010,75855,79800,83845,87990,92235,96580,101025,105570,110215,114960,119805,124750,129795,134940,140185,145530,150975,156520,162165,167910,173755,179700,185745,191890,198135,204480,210925,217470,224115,230860,237705,244650,251695,258840,266085,273430,280875,288420,296065,303810,311655,319600,327645,335790,344035,352380,360825,369370,378015,386760,395605,404550,413595,422740,431985,441330,450775,460320,469965,479710,489555,499500
Insertion Sort,54,209,464,819,1274,1829,2484,3239,4094,5049,6104,7259,8514,9869,11324,12879,14534,16289,18144,20099,22154,24309,26564,28919,31374,33929,36584,39339,42194,45149,48204,51359,54614,57969,61424,64979,68634,72389,76244,80199,84254,88409,92664,97019,101474,106029,110684,115439,120294,125249,130304,135459,140714,146069,151524,157079,162734,168489,174344,180299,186354,192509,198764,205119,211574,218129,224784,231539,238394,245349,252404,259559,266814,274169,281624,289179,296834,304589,312444,320399,328454,336609,344864,353219,361674,370229,378884,387639,396494,405449,414504,423659,432914,442269,451724,461279,470934,480689,490544,500499
Selection Sort,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
Shell Sort (N/2^k),35,98,163,254,308,412,554,626,691,763,848,1000,1111,1315,1329,1490,1565,1648,1743,1823,2057,2021,2178,2356,2431,2610,2715,3047,3114,3104,3352,3458,3543,3636,3741,3832,3980,4050,4471,4243,4328,4740,4845,4697,5019,5041,5257,5428,5513,5606,5711,5998,6572,6236,6413,6931,7026,7095,7210,7104,7181,7629,7439,7874,7969,8072,8187,8288,8382,8526,8766,8740,8835,9065,9180,9234,9244,10108,9502,9683,9778,9881,9996,10736,10350,10974,11151,10709,10804,11384,11499,11457,11534,11918,11792,12292,12387,12490,12605,12706
Shell Bubble Sort (N/2^k),13,36,69,92,105,168,201,224,237,260,293,396,329,472,425,528,541,564,597,620,793,696,793,912,925,788,821,1084,1081,1000,1177,1216,1229,1252,1285,1308,1385,1384,1737,1440,1453,1796,1829,1612,1865,1816,1961,2064,2077,2100,2133,1836,2329,1912,2009,2448,2461,2452,2485,2300,2297,2664,2393,2752,2765,2788,2821,2844,2857,2920,3081,2976,2989,3140,3173,3148,3081,3864,3177,3280,3293,3316,3349,4012,3545,4088,4185,3664,3677,4180,4213,4092,4089,4392,4185,4608,4621,4644,4677,4700
Shell Selection Sort (N/2^k),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Hibbard),30,78,163,199,264,385,427,524,581,672,783,866,1070,1017,1096,1245,1246,1379,1638,1577,1644,1913,1874,1999,2322,2410,2293,2346,2575,2532,2655,3022,2817,2902,3227,3152,3367,3790,3625,3726,3779,3792,4043,4154,4393,4438,4439,4736,4875,5058,5711,5267,5322,5331,5318,5543,5646,5853,5682,5721,6082,6169,6326,6863,6500,6459,6914,6599,6808,7481,7118,7261,7612,7565,7970,8547,8884,8195,8150,8639,8292,8453,9132,8689,8744,9297,9038,9255,10310,9847,9900,9771,9994,10201,10262,11089,10582,10701,11532,11411
Shell Bubble Sort (Hibbard),11,24,69,56,71,142,127,164,161,192,243,266,407,284,293,372,303,366,555,424,421,620,511,566,819,832,635,608,757,634,677,964,679,684,929,774,909,1252,1007,1028,1001,934,1105,1136,1295,1260,1181,1398,1457,1560,2133,1600,1565,1484,1381,1516,1529,1646,1385,1334,1605,1602,1669,2116,1663,1532,1897,1492,1611,2194,1741,1794,2055,1918,2233,2720,2967,2188,2053,2452,2015,2086,2675,2142,2107,2570,2221,2348,3313,2760,2723,2504,2637,2754,2725,3462,2865,2894,3635,3424
Shell Selection Sort (Hibbard),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Knuth),28,105,168,234,283,368,451,550,729,756,841,938,853,892,1043,1350,1219,1252,1429,1802,1625,1652,1855,2294,2071,2092,2321,2826,2557,2572,2827,3398,3083,3092,3373,4010,3210,3093,3364,3337,3358,3341,3750,3809,3786,3869,4416,4561,4466,4629,4638,4561,4674,4789,4988,5009,5242,5309,5698,5817,5920,6029,5928,6065,6048,6299,6408,6493,6616,7009,7328,7361,7764,7839,7296,7489,7776,8025,7664,8077,8308,8731,8552,9185,10150,9255,8872,9045,9988,9539,9190,9519,10426,10423,10108,10593,11692,10859,10614,10811
Shell Bubble Sort (Knuth),13,70,113,132,151,206,259,328,477,474,529,516,391,390,501,768,597,590,727,1060,843,830,993,1392,1129,1110,1299,1764,1455,1430,1645,2176,1821,1790,2031,2628,1539,1372,1593,1516,1487,1420,1779,1788,1715,1748,2245,2340,2195,2308,2267,2140,2203,2268,2417,2388,2571,2588,2927,2996,3049,3108,2957,3044,2977,3178,3237,3272,3345,3688,3957,3940,4293,4318,3725,3868,4105,4304,3893,4256,4437,4810,4581,5164,6079,5134,4701,4824,5717,5218,4819,5098,5955,5902,5537,5972,7021,6138,5843,5990
Shell Selection Sort (Knuth),20,40,60,120,150,180,210,240,270,300,330,480,520,560,600,640,680,720,760,800,840,880,920,960,1000,1040,1080,1120,1160,1200,1240,1280,1320,1360,1400,1440,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000
Custom Shell Sort,35,98,181,284,407,550,713,896,1099,1322,1565,1828,2111,2414,2737,3080,3443,3826,4229,4652,5095,5558,6041,6544,7067,7610,8173,8756,9359,9982,10625,11288,11971,12674,13397,14140,14903,15686,16489,17312,18155,19018,19901,20804,21727,22670,23633,24616,25619,26642,27685,28748,29831,30934,32057,33200,34363,35546,36749,37972,39215,40478,41761,43064,44387,45730,47093,48476,49879,51302,52745,54208,55691,57194,58717,60260,61823,63406,65009,66632,68275,69938,71621,73324,75047,76790,78553,80336,82139,83962,85805,87668,89551,91454,93377,95320,97283,99266,101269,103292
