Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459,2710,3766,5047,6557,8062,9269,11052,13074,14888,16745,18464,20533,21877,23499,25898,27918,29484,31355,33286,35399,37967,41042,43451,45307,46974,49589,52260,55065,57088,59202,62356,65690,69514,73238,77167,79499,82821,85935,88817,92050,95254,98083,102083,105193,108715,111274,114456,117556,120866,128263,135456,142433,149171,155671,161980,168126,174052,179668,184978,189955,194678,199080,203089,206830,210177,213181,215903,218389,220493,222161,223538,224633,225187,225476
Insertion Sort,9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169,179,189,199,209,219,229,239,249,1718,2979,4045,5336,6856,8371,9588,11381,13413,15237,17104,18833,20912,22266,23898,26307,28337,29913,31794,33735,35858,38436,41521,43940,45806,47483,50108,52789,55604,57637,59761,62925,66269,70103,73837,77776,80118,83450,86574,89466,92709,95923,98762,102772,105892,109424,111993,115185,118295,121615,129022,136225,143212,149960,156470,162789,168945,174881,180507,185827,190814,195547,199959,203978,207729,211086,214100,216832,219328,221442,223120,224507,225612,226176,226475
Selection Sort,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
Shell Sort (N/2^k),22,62,94,162,203,244,353,402,454,503,555,604,782,843,904,962,1024,1084,1146,1203,1264,1325,1385,1444,1506,2401,2598,2727,2774,3053,3259,3461,3753,3798,3941,4167,4280,4431,5163,4773,4978,5086,5503,5440,5705,5684,5753,6063,6068,6088,6113,7425,7243,7424,7473,7507,7533,8223,8290,8412,8761,8720,8675,10352,9958,9406,9628,9811,9989,10061,10554,10904,10323,10722,10911,10932,13272,13331,12880,12513,12652,12341,12564,13101,12863,12848,13348,12968,13110,15006,13960,14308,13817,14099,14240,14985,15155,14757,14640,14962
Shell Bubble Sort (N/2^k),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,704,764,741,949,1084,1219,1439,1414,1485,1643,1685,1765,2429,1970,2103,2142,2487,2355,2551,2459,2457,2699,2632,2582,2535,3263,3000,3100,3069,3024,2968,3580,3565,3608,3877,3755,3629,5230,4754,4122,4262,4367,4464,4455,4869,5140,4477,4797,4904,4846,7109,7087,6555,6110,6167,5776,5917,6377,6058,5962,6382,5923,5983,7802,6674,6943,6372,6573,6633,7301,7389,6911,6712,6956
Shell Selection Sort (N/2^k),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Hibbard),19,54,94,143,193,243,300,360,420,480,540,600,663,733,803,873,943,1013,1083,1153,1223,1293,1363,1433,1503,2115,2386,2546,2745,2957,3100,3269,3404,3557,3730,3880,4064,4174,4409,4498,4676,4918,4948,5053,5348,5455,5690,5712,5932,6084,6113,6292,6422,6622,6798,6968,7163,7329,7516,7699,7989,8203,8344,8558,8652,8853,9087,9164,9325,9423,9553,9724,9946,10120,10261,10239,10504,10750,11080,11160,11411,11625,11839,12033,12217,12688,12567,12748,13079,13270,13379,13802,13843,14081,14183,14426,14598,14697,14825,14998
Shell Bubble Sort (Hibbard),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,728,808,927,1059,1122,1211,1266,1339,1432,1502,1606,1636,1791,1800,1898,2060,2010,2035,2250,2277,2432,2374,2514,2586,2535,2625,2665,2775,2861,2941,3046,3122,3219,3312,3512,3636,3687,3811,3815,3926,4070,4057,4128,4136,4176,4257,4389,4473,4524,4412,4587,4743,4983,4973,5134,5258,5382,5486,5580,5961,5750,5841,6082,6183,6202,6535,6486,6634,6646,6799,6881,6890,6928,7011
Shell Selection Sort (Hibbard),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Knuth),15,35,55,102,132,162,192,222,252,282,312,422,462,502,542,582,622,662,702,742,782,822,862,902,942,1605,1748,1862,1957,2287,2440,2546,2754,3118,3253,3302,3527,3805,3983,4072,4301,4511,4581,4720,4861,5166,5152,5329,5458,5733,5752,5905,6150,6456,6494,6814,6766,7166,7069,7312,7689,7894,7748,7818,7954,8436,8525,8664,8823,9111,9217,9397,9529,9778,9912,9973,10472,10580,10726,10941,11006,11061,11263,11584,11775,11864,12100,12214,12323,12490,12803,12941,12940,13069,13322,13404,13469,13636,13748,13845
