Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,0,17,17,37,37,61,61,82,82,100,100,115,115,141,141,158,158,175,175,192,192,214,214,232,232,250,250,278,278,297,297,309,309,328,328,357,357,383,383,396,396,420,420,456,456,484,484,514,514,534,534,570,570,587,587,606,606,638,638,663,663,689,689,717,717,734,734,757,757,775,775,787,787,813,813,835,835,849,849,882,882,900,900,908,908,932,932,952,952,973,973,986,986,1008,1008,1028,1028,1047,1047,1068
Insertion Sort,9,36,46,76,86,120,130,161,171,199,209,234,244,280,290,317,327,354,364,391,401,433,443,471,481,509,519,557,567,596,606,628,638,667,677,716,726,762,772,795,805,839,849,895,905,943,953,993,1003,1033,1043,1089,1099,1126,1136,1165,1175,1217,1227,1262,1272,1308,1318,1356,1366,1393,1403,1436,1446,1474,1484,1506,1516,1552,1562,1594,1604,1628,1638,1681,1691,1719,1729,1747,1757,1791,1801,1831,1841,1872,1882,1905,1915,1947,1957,1987,1997,2026,2036,2067
Selection Sort,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
Shell Sort (N/2^k),22,67,107,181,232,281,378,448,500,575,627,681,827,896,967,1048,1110,1179,1241,1339,1400,1479,1519,1588,1650,1940,2012,2095,2177,2257,2328,2417,2489,2570,2642,2723,2794,2877,2979,3055,3127,3212,3284,3367,3402,3487,3558,3634,3706,3788,3860,4436,4517,4607,4687,4779,4861,4967,5049,5139,5219,5310,5391,5487,5569,5662,5744,5831,5912,6007,6086,6173,6255,6346,6428,6515,6670,6761,6842,6933,7015,7105,7187,7268,7349,7446,7526,7617,7699,7707,7789,7879,7959,8054,8135,8224,8306,8397,8479,8570
Shell Bubble Sort (N/2^k),0,5,13,19,29,37,25,46,46,72,72,77,45,53,63,86,86,95,95,136,136,154,134,144,144,118,118,132,144,153,153,175,175,186,186,199,199,211,245,252,252,268,268,282,248,262,262,270,270,282,282,274,274,283,283,296,296,324,324,335,335,345,345,365,365,378,378,387,387,401,401,409,409,421,421,429,507,517,517,530,530,540,540,544,544,560,560,572,572,503,503,514,514,528,528,540,540,551,551,564
Shell Selection Sort (N/2^k),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Hibbard),19,67,107,168,218,280,337,410,470,544,604,677,740,824,894,971,1041,1122,1192,1277,1347,1427,1497,1577,1647,1730,1810,1898,1978,2065,2145,2235,2315,2402,2482,2575,2655,2749,2829,2918,2998,3094,3174,3266,3346,3440,3520,3608,3688,3780,3860,3959,4049,4150,4240,4339,4429,4529,4619,4718,4808,4918,5008,5108,5198,5301,5391,5496,5586,5686,5776,5874,5964,6070,6160,6260,6350,6450,6540,6641,6731,6833,6923,7017,7107,7207,7297,7397,7487,7590,7680,7781,7871,7975,8065,8167,8257,8358,8448,8551
Shell Bubble Sort (Hibbard),0,13,13,25,25,37,37,50,50,64,64,77,77,91,91,98,98,109,109,124,124,134,134,144,144,152,152,160,160,167,167,177,177,184,184,197,197,211,211,220,220,236,236,248,248,262,262,270,270,282,282,292,292,303,303,312,312,322,322,331,331,351,351,361,361,374,374,389,389,399,399,407,407,423,423,433,433,443,443,454,454,466,466,470,470,480,480,490,490,503,503,514,514,528,528,540,540,551,551,564
Shell Selection Sort (Hibbard),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Knuth),15,48,68,123,153,193,223,260,290,328,358,481,521,569,609,666,706,761,801,856,896,948,988,1040,1080,1136,1176,1230,1270,1325,1365,1417,1457,1510,1550,1605,1894,1960,2010,2069,2119,2181,2231,2301,2351,2419,2469,2539,2589,2653,2703,2765,2815,2874,2924,2989,3039,3101,3151,3218,3268,3334,3384,3444,3494,3555,3605,3666,3716,3780,3830,3892,3942,4008,4058,4126,4176,4236,4286,4353,4403,4471,4521,4579,4629,4693,4743,4811,4861,4924,4974,5035,5085,5149,5199,5265,5315,5380,5430,5493
Shell Bubble Sort (Knuth),0,13,13,21,21,31,31,38,38,46,46,59,59,67,67,84,84,99,99,114,114,126,126,138,138,154,154,168,168,183,183,195,195,208,208,223,223,239,239,248,248,260,260,280,280,298,298,318,318,332,332,344,344,353,353,368,368,380,380,397,397,413,413,423,423,434,434,445,445,459,459,471,471,487,487,505,505,515,515,532,532,550,550,558,558,572,572,590,590,603,603,614,614,628,628,644,644,659,659,672
Shell Selection Sort (Knuth),20,40,60,120,150,180,210,240,270,300,330,480,520,560,600,640,680,720,760,800,840,880,920,960,1000,1040,1080,1120,1160,1200,1240,1280,1320,1360,1400,1440,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000
Custom Shell Sort,22,57,87,131,161,205,235,278,308,350,380,417,447,487,517,558,588,627,657,698,728,774,804,846,876,918,948,988,1018,1057,1087,1127,1157,1198,1228,1271,1301,1343,1373,1414,1444,1484,1514,1558,1588,1628,1658,1702,1732,1776,1806,1848,1878,1919,1949,1986,2016,2060,2090,2133,2163,2203,2233,2277,2307,2350,2380,2419,2449,2493,2523,2561,2591,2633,2663,2701,2731,2771,2801,2844,2874,2916,2946,2984,3014,3058,3088,3128,3158,3199,3229,3264,3294,3336,3366,3410,3440,3483,3513,3554
