Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,45,190,435,780,1225,1770,2415,3160,4005,4950,5995,7140,8385,9730,11175,12720,14365,16110,17955,19900,21945,24090,26335,28680,31125,33670,36315,39060,41905,44850,47895,51040,54285,57630,61075,64620,68265,72010,75855,79800,83845,87990,92235,96580,101025,105570,110215,114960,119805,124750,129795,134940,140185,145530,150975,156520,162165,167910,173755,179700,185745,191890,198135,204480,210925,217470,224115,230860,237705,244650,251695,258840,266085,273430,280875,288420,296065,303810,311655,319600,327645,335790,344035,352380,360825,369370,378015,386760,395605,404550,413595,422740,431985,441330,450775,460320,469965,479710,489555,499500
Insertion Sort,16,105,231,449,626,956,1216,1602,2014,2506,3153,3656,4150,4830,5625,6528,7249,8231,9055,10285,11300,12528,13355,14869,15795,18254,20655,22985,25260,27455,29586,31656,33669,35586,37438,39269,41062,42811,44510,46179,47831,49457,51057,52623,54127,55543,56883,58161,59388,60577,61747,62859,63942,64982,65964,66904,67834,68679,69465,70198,70835,71435,71987,72475,72940,73377,73779,74137,74466,74758,75007,75233,75372,75485,75535,79723,83410,87738,91033,96043,100001,104254,108964,113882,117774,123056,127105,130377,134599,138243,142670,147537,151792,157198,161067,166396,170866,175873,181829,186461
Selection Sort,45,190,435,780,1225,1770,2415,3160,4005,4950,5995,7140,8385,9730,11175,12720,14365,16110,17955,19900,21945,24090,26335,28680,31125,33670,36315,39060,41905,44850,47895,51040,54285,57630,61075,64620,68265,72010,75855,79800,83845,87990,92235,96580,101025,105570,110215,114960,119805,124750,129795,134940,140185,145530,150975,156520,162165,167910,173755,179700,185745,191890,198135,204480,210925,217470,224115,230860,237705,244650,251695,258840,266085,273430,280875,288420,296065,303810,311655,319600,327645,335790,344035,352380,360825,369370,378015,386760,395605,404550,413595,422740,431985,441330,450775,460320,469965,479710,489555,499500
Shell Sort (N/2^k),30,89,158,261,357,403,519,680,690,848,948,981,1397,1393,1359,1767,1740,1756,1851,2173,2206,2207,2394,2530,2682,3209,3261,3249,3477,3500,3750,4400,4085,4057,4227,4253,4415,4547,5568,5169,5112,5087,5245,5270,5962,5892,5736,5905,5906,6130,6399,7333,7279,7272,7232,7357,7509,8008,7973,7869,8251,8433,8915,10049,10077,9291,9208,9202,9226,9270,9648,9593,9983,9850,9848,10095,12276,12186,12017,11562,11647,11639,12301,11833,11958,12203,12842,12300,12601,13736,13551,14123,13319,13642,13503,14871,14596,14301,14467,14744
Shell Bubble Sort (N/2^k),96,536,1209,2826,4409,6354,10986,14226,18117,22209,27012,31974,45696,53091,61012,69066,78222,87642,97920,107859,119032,130797,142849,155274,168860,215476,232799,250071,268152,287212,306868,326026,347257,368582,391135,413082,436590,460820,484479,509259,535710,561712,589475,616777,644549,673919,703855,733194,764865,796360,829353,994566,1033579,1073444,1113426,1153771,1196297,1237477,1281505,1324762,1369138,1414963,1461424,1505706,1554232,1602412,1652460,1700872,1751775,1803560,1854577,1906542,1961098,2014455,2070523,2125410,2179229,2236944,2295265,2352259,2412815,2472755,2534833,2593882,2656655,2720340,2783772,2847357,2913943,2977124,3045202,3111689,3179505,3249140,3319351,3386874,3459460,3531160,3605268,3676610
Shell Selection Sort (N/2^k),70,320,635,1380,1906,2688,4600,5760,7259,7919,9548,11109,16314,18884,21496,23600,26619,29662,33024,32369,35521,38951,41774,45275,49106,66288,71466,76648,81482,87171,92921,95680,101739,107832,114251,120080,126690,133605,124787,131069,137690,143758,150669,157556,161679,168920,176190,183018,190711,198412,206410,267480,277720,288280,298352,309104,320237,328528,339945,351371,362490,374454,386482,385600,397739,409912,422421,434380,447103,460139,470397,483549,497066,510080,523951,537820,489850,502638,515462,527869,541143,554431,568027,578800,592519,606522,620024,634171,648656,650756,665289,679799,693979,708968,723986,736389,751809,767234,782959,798131
Shell Sort (Hibbard),28,79,158,219,315,406,502,607,702,794,877,937,1073,1241,1357,1515,1624,1772,1908,1919,2085,2272,2362,2478,2624,2677,2900,2999,3162,3334,3517,3589,3738,3837,4047,4041,4229,4340,4460,4681,4911,5019,5213,5282,5445,5656,5766,5899,6042,6206,6399,6433,6608,6815,6936,7143,7335,7495,7639,7757,7910,8081,8215,8339,8487,8659,8779,8929,9065,9221,9358,9507,9630,9749,9859,10042,10164,10445,10613,10906,11002,11277,11503,11545,11882,12015,11995,12204,12582,12596,12872,13077,13248,13472,13732,13932,14157,14339,14430,14494
Shell Bubble Sort (Hibbard),79,449,1209,2414,4119,6324,9057,12387,16317,20847,25977,31707,38043,45058,52773,61188,70303,80118,90633,101848,113763,126378,139693,153708,168423,183853,200073,217093,234913,253533,272953,293173,314193,336013,358633,382053,406273,431293,457113,483733,511153,539373,568393,598213,628833,660253,692473,725493,759313,793933,829353,865618,902783,940848,979813,1019678,1060443,1102108,1144673,1188138,1232503,1277768,1323933,1370998,1418963,1467828,1517593,1568258,1619823,1672288,1725653,1779918,1835083,1891148,1948113,2005978,2064743,2124408,2184973,2246438,2308803,2372068,2436233,2501298,2567263,2634128,2701893,2770558,2840123,2910588,2981953,3054218,3127383,3201448,3276413,3352278,3429043,3506708,3585273,3664738
Shell Selection Sort (Hibbard),60,271,635,1166,1850,2687,3696,4864,6183,7668,9308,11100,13064,15196,17482,19930,22536,25294,28215,31304,34544,37947,41508,45222,49096,53149,57366,61741,66279,70968,75816,80831,86003,91334,96825,102471,108274,114240,120377,126673,133129,139739,146509,153436,160529,167781,175190,182757,190481,198363,206410,214647,223040,231592,240303,249167,258196,267389,276736,286244,295910,305729,315709,325864,336175,346648,357280,368064,379009,390120,401388,412814,424402,436142,448040,460105,472340,484741,497304,510020,522892,535929,549128,562481,576001,589672,603498,617490,631643,645961,660445,675083,689872,704830,719945,735217,750657,766249,781995,797906
Shell Sort (Knuth),23,83,151,209,277,355,449,539,658,762,855,1036,1034,1163,1254,1488,1497,1596,1735,1885,1989,2162,2234,2346,2420,2566,2826,3034,2962,3131,3368,3580,3549,3742,3958,4165,3952,4082,4263,4406,4566,4704,4922,5090,5160,5348,5472,5544,5659,5766,5904,6022,6231,6377,6541,6685,6813,6950,7068,7131,7230,7324,7428,7516,7625,7762,7858,7964,8073,8195,8297,8367,8470,8557,8625,8859,9231,9314,9454,9480,9873,9805,10104,10357,10432,10447,10741,11050,11080,11406,11724,11767,12025,11990,12327,12491,12831,12765,12951,13269
