Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,16,105,231,449,626,956,1216,1602,2014,2506,3153,3656,4150,4830,5625,6528,7249,8231,9055,10285,11300,12528,13355,14869,15795,18254,20655,22985,25260,27455,29586,31656,33669,35586,37438,39269,41062,42811,44510,46179,47831,49457,51057,52623,54127,55543,56883,58161,59388,60577,61747,62859,63942,64982,65964,66904,67834,68679,69465,70198,70835,71435,71987,72475,72940,73377,73779,74137,74466,74758,75007,75233,75372,75485,75535,79723,83410,87738,91033,96043,100001,104254,108964,113882,117774,123056,127105,130377,134599,138243,142670,147537,151792,157198,161067,166396,170866,175873,181829,186461
Insertion Sort,25,124,260,488,675,1015,1285,1681,2103,2605,3262,3775,4279,4969,5774,6687,7418,8410,9244,10484,11509,12747,13584,15108,16044,18513,20924,23264,25549,27754,29895,31975,33998,35925,37787,39628,41431,43190,44899,46578,48240,49876,51486,53062,54576,56002,57352,58640,59877,61076,62256,63378,64471,65521,66513,67463,68403,69258,70054,70797,71444,72054,72616,73114,73589,74036,74448,74816,75155,75457,75716,75952,76101,76224,76284,80482,84179,88517,91822,96842,100810,105073,109793,114721,118623,123915,127974,131256,135488,139142,143579,148456,152721,158137,162016,167355,171835,176852,182818,187460
Selection Sort,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
Shell Sort (N/2^k),34,101,177,285,383,438,555,724,740,895,1010,1044,1460,1467,1439,1846,1837,1857,1955,2276,2308,2323,2520,2651,2825,3356,3427,3436,3673,3707,3959,4608,4299,4282,4478,4489,4663,4803,5826,5406,5364,5333,5509,5526,6225,6152,5993,6145,6153,6354,6666,7582,7560,7561,7548,7656,7832,8317,8299,8186,8581,8756,9252,10369,10411,9617,9541,9537,9570,9628,9997,9936,10338,10206,10215,10457,12639,12556,12390,11917,12024,12015,12692,12205,12348,12597,13241,12676,13003,14128,13974,14509,13721,14027,13919,15253,15003,14696,14908,15132
Shell Bubble Sort (N/2^k),12,39,83,123,180,194,202,322,286,392,455,440,678,624,535,884,813,773,809,1073,1044,998,1135,1207,1319,1534,1533,1473,1640,1603,1784,2366,1985,1898,2022,1965,2068,2137,3092,2603,2489,2389,2493,2441,3071,2927,2697,2781,2717,2848,3088,3420,3317,3237,3144,3173,3267,3674,3574,3382,3697,3791,4206,5247,5207,4333,4175,4093,4045,4022,4312,4172,4492,4281,4208,4371,6476,6312,6065,5514,5539,5450,6045,5481,5543,5711,6275,5631,5876,6924,6688,7144,6276,6501,6312,7569,7237,6850,6980,7126
Shell Selection Sort (N/2^k),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Hibbard),31,91,177,242,343,441,546,650,748,844,937,1004,1149,1319,1440,1601,1714,1868,2008,2032,2207,2401,2496,2622,2774,2830,3041,3139,3308,3479,3674,3752,3905,4008,4224,4225,4414,4533,4660,4889,5125,5241,5443,5517,5685,5901,6015,6154,6301,6468,6666,6705,6886,7096,7220,7432,7626,7791,7939,8060,8213,8385,8523,8649,8800,8973,9093,9245,9382,9538,9676,9826,9949,10068,10178,10368,10490,10772,10940,11243,11339,11620,11852,11901,12238,12377,12357,12569,12952,12970,13251,13464,13640,13878,14144,14354,14585,14776,14880,14951
Shell Bubble Sort (Hibbard),12,37,83,99,150,198,246,290,328,364,397,404,486,586,637,728,771,855,925,879,984,1108,1133,1189,1271,1252,1383,1401,1490,1581,1696,1694,1767,1790,1926,1847,1956,1995,2042,2191,2347,2383,2505,2499,2587,2723,2757,2816,2883,2970,3088,3038,3129,3249,3283,3405,3509,3584,3642,3673,3736,3818,3866,3902,3963,4046,4076,4138,4185,4251,4299,4359,4392,4421,4441,4541,4573,4765,4843,5056,5062,5253,5395,5354,5601,5650,5540,5662,5955,5883,6074,6197,6283,6431,6607,6727,6868,6969,6983,6964
Shell Selection Sort (Hibbard),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Knuth),25,90,160,229,298,382,474,564,686,790,883,1086,1084,1218,1313,1548,1559,1657,1797,1951,2058,2234,2307,2421,2497,2650,2921,3137,3072,3241,3478,3690,3659,3852,4068,4275,4135,4266,4447,4590,4750,4888,5106,5274,5344,5532,5656,5728,5843,5950,6088,6206,6415,6561,6725,6869,6997,7134,7252,7315,7414,7508,7612,7700,7809,7946,8042,8148,8257,8379,8481,8551,8654,8741,8809,9043,9417,9501,9641,9671,10064,9998,10301,10557,10632,10648,10942,11251,11282,11609,11928,11972,12230,12198,12536,12705,13046,12980,13166,13484
Shell Bubble Sort (Knuth),10,55,105,127,166,220,282,342,434,508,571,664,622,716,771,966,937,995,1095,1209,1276,1412,1445,1519,1555,1668,1899,2075,1970,2099,2296,2468,2397,2550,2726,2893,2464,2545,2676,2769,2879,2967,3135,3253,3273,3411,3485,3507,3572,3629,3717,3785,3944,4040,4154,4248,4326,4413,4481,4494,4543,4587,4641,4679,4738,4825,4871,4927,4986,5058,5110,5130,5183,5220,5238,5422,5746,5780,5870,5850,6193,6077,6330,6536,6561,6527,6771,7030,7011,7288,7557,7551,7759,7677,7965,8084,8375,8259,8395,8663
