Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,45,190,435,780,1225,1770,2415,3160,4005,4950,5995,7140,8385,9730,11175,12720,14365,16110,17955,19900,21945,24090,26335,28680,31125,33670,36315,39060,41905,44850,47895,51040,54285,57630,61075,64620,68265,72010,75855,79800,83845,87990,92235,96580,101025,105570,110215,114960,119805,124750,129795,134940,140185,145530,150975,156520,162165,167910,173755,179700,185745,191890,198135,204480,210925,217470,224115,230860,237705,244650,251695,258840,266085,273430,280875,288420,296065,303810,311655,319600,327645,335790,344035,352380,360825,369370,378015,386760,395605,404550,413595,422740,431985,441330,450775,460320,469965,479710,489555,499500
Insertion Sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2348,4765,6858,9684,11946,14977,17182,19477,21565,24526,27789,30787,33580,37372,41354,45698,49471,52050,55711,58546,62069,66930,71308,73371,77639,82231,86249,90274,94293,98749,103328,107789,111669,117261,120161,123991,128983,133026,139246,141439,146630,150758,154955,160152,164684,167676,172529,177151,182011,186314
Selection Sort,45,190,435,780,1225,1770,2415,3160,4005,4950,5995,7140,8385,9730,11175,12720,14365,16110,17955,19900,21945,24090,26335,28680,31125,33670,36315,39060,41905,44850,47895,51040,54285,57630,61075,64620,68265,72010,75855,79800,83845,87990,92235,96580,101025,105570,110215,114960,119805,124750,129795,134940,140185,145530,150975,156520,162165,167910,173755,179700,185745,191890,198135,204480,210925,217470,224115,230860,237705,244650,251695,258840,266085,273430,280875,288420,296065,303810,311655,319600,327645,335790,344035,352380,360825,369370,378015,386760,395605,404550,413595,422740,431985,441330,450775,460320,469965,479710,489555,499500
Shell Sort (N/2^k),22,62,94,162,203,244,353,402,454,503,555,604,782,843,904,962,1024,1084,1146,1203,1264,1325,1385,1444,1506,1822,1894,1963,2033,2104,2175,2242,2314,2384,2456,2524,2595,2666,2734,2803,2875,2944,3016,3085,3154,3225,3296,3364,3436,3506,4622,5299,5596,6022,6272,6403,6588,6663,7038,7003,7271,7509,7809,8447,8247,8628,8626,8412,9042,9154,9756,9493,9676,9801,9944,10058,12872,12915,11168,11377,11214,11304,11971,11999,11843,11970,12343,12223,12444,14147,12874,13624,13811,13430,13224,14060,13792,13695,13611,14154
Shell Bubble Sort (N/2^k),96,536,1209,2826,4409,6354,10986,14226,18117,22209,27012,31974,45696,53091,61012,69066,78222,87642,97920,107859,119032,130797,142849,155274,168860,215476,232799,250071,268152,287212,306868,326026,347257,368582,391135,413082,436590,460820,484479,509259,535710,561712,589475,616777,644549,673919,703855,733194,764865,796360,829353,994566,1033579,1073444,1113426,1153771,1196297,1237477,1281505,1324762,1369138,1414963,1461424,1505706,1554232,1602412,1652460,1700872,1751775,1803560,1854577,1906542,1961098,2014455,2070523,2125410,2179229,2236944,2295265,2352259,2412815,2472755,2534833,2593882,2656655,2720340,2783772,2847357,2913943,2977124,3045202,3111689,3179505,3249140,3319351,3386874,3459460,3531160,3605268,3676610
Shell Selection Sort (N/2^k),70,320,635,1380,1906,2688,4600,5760,7259,7919,9548,11109,16314,18884,21496,23600,26619,29662,33024,32369,35521,38951,41774,45275,49106,66288,71466,76648,81482,87171,92921,95680,101739,107832,114251,120080,126690,133605,124787,131069,137690,143758,150669,157556,161679,168920,176190,183018,190711,198412,206410,267480,277720,288280,298352,309104,320237,328528,339945,351371,362490,374454,386482,385600,397739,409912,422421,434380,447103,460139,470397,483549,497066,510080,523951,537820,489850,502638,515462,527869,541143,554431,568027,578800,592519,606522,620024,634171,648656,650756,665289,679799,693979,708968,723986,736389,751809,767234,782959,798131
Shell Sort (Hibbard),19,54,94,143,193,243,300,360,420,480,540,600,663,733,803,873,943,1013,1083,1153,1223,1293,1363,1433,1503,1578,1658,1738,1818,1898,1978,2058,2138,2218,2298,2378,2458,2538,2618,2698,2778,2858,2938,3018,3098,3178,3258,3338,3418,3498,4622,5096,5410,5843,5991,6180,6292,6473,6720,6923,7196,7445,7568,7816,8039,8160,8458,8659,8667,8909,9247,9347,9600,9762,9842,9873,10014,10293,10549,10749,10901,11018,11256,11519,11551,11838,11928,11967,12395,12476,12804,13068,13154,13336,13377,13639,14021,14036,14302,14339
Shell Bubble Sort (Hibbard),79,449,1209,2414,4119,6324,9057,12387,16317,20847,25977,31707,38043,45058,52773,61188,70303,80118,90633,101848,113763,126378,139693,153708,168423,183853,200073,217093,234913,253533,272953,293173,314193,336013,358633,382053,406273,431293,457113,483733,511153,539373,568393,598213,628833,660253,692473,725493,759313,793933,829353,865618,902783,940848,979813,1019678,1060443,1102108,1144673,1188138,1232503,1277768,1323933,1370998,1418963,1467828,1517593,1568258,1619823,1672288,1725653,1779918,1835083,1891148,1948113,2005978,2064743,2124408,2184973,2246438,2308803,2372068,2436233,2501298,2567263,2634128,2701893,2770558,2840123,2910588,2981953,3054218,3127383,3201448,3276413,3352278,3429043,3506708,3585273,3664738
Shell Selection Sort (Hibbard),60,271,635,1166,1850,2687,3696,4864,6183,7668,9308,11100,13064,15196,17482,19930,22536,25294,28215,31304,34544,37947,41508,45222,49096,53149,57366,61741,66279,70968,75816,80831,86003,91334,96825,102471,108274,114240,120377,126673,133129,139739,146509,153436,160529,167781,175190,182757,190481,198363,206410,214647,223040,231592,240303,249167,258196,267389,276736,286244,295910,305729,315709,325864,336175,346648,357280,368064,379009,390120,401388,412814,424402,436142,448040,460105,472340,484741,497304,510020,522892,535929,549128,562481,576001,589672,603498,617490,631643,645961,660445,675083,689872,704830,719945,735217,750657,766249,781995,797906
Shell Sort (Knuth),15,35,55,102,132,162,192,222,252,282,312,422,462,502,542,582,622,662,702,742,782,822,862,902,942,982,1022,1062,1102,1142,1182,1222,1262,1302,1342,1382,1671,1721,1771,1821,1871,1921,1971,2021,2071,2121,2171,2221,2271,2321,3351,3759,4035,4292,4544,4931,5196,5209,5409,5574,5708,5982,6303,6541,6664,6691,6984,7188,7333,7486,7588,7679,7922,8091,8249,8509,8703,8918,9025,9206,9471,9656,9727,10213,10284,10463,10499,10691,10918,11110,11239,11674,11737,11788,11827,12047,12276,12315,12553,12672
