Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2348,4765,6858,9684,11946,14977,17182,19477,21565,24526,27789,30787,33580,37372,41354,45698,49471,52050,55711,58546,62069,66930,71308,73371,77639,82231,86249,90274,94293,98749,103328,107789,111669,117261,120161,123991,128983,133026,139246,141439,146630,150758,154955,160152,164684,167676,172529,177151,182011,186314
Insertion Sort,9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169,179,189,199,209,219,229,239,249,259,269,279,289,299,309,319,329,339,349,359,369,379,389,399,409,419,429,439,449,459,469,479,489,499,2857,5284,7387,10223,12495,15536,17751,20056,22154,25125,28398,31406,34209,38011,42003,46357,50140,52729,56400,59245,62778,67649,72037,74110,78388,82990,87018,91053,95082,99548,104137,108608,112498,118100,121010,124850,129852,133905,140135,142338,147539,151677,155884,161091,165633,168635,173498,178130,183000,187313
Selection Sort,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
Shell Sort (N/2^k),22,62,94,162,203,244,353,402,454,503,555,604,782,843,904,962,1024,1084,1146,1203,1264,1325,1385,1444,1506,1822,1894,1963,2033,2104,2175,2242,2314,2384,2456,2524,2595,2666,2734,2803,2875,2944,3016,3085,3154,3225,3296,3364,3436,3506,4630,5314,5616,6051,6307,6448,6635,6714,7089,7066,7344,7596,7897,8547,8360,8754,8767,8559,9194,9312,9911,9663,9865,9984,10142,10257,13082,13136,11396,11596,11448,11553,12247,12253,12115,12245,12629,12499,12767,14448,13212,13941,14141,13770,13591,14398,14164,14052,14019,14516
Shell Bubble Sort (N/2^k),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,1152,1373,1727,1903,1965,2070,2071,2364,2262,2460,2631,2851,3425,3156,3470,3401,3115,3669,3706,4226,3899,4019,4059,4135,4171,6919,6892,5071,5193,4963,4988,5600,5529,5310,5359,5663,5454,5640,7244,5926,6576,6696,6244,5984,6714,6398,6206,6091,6510
Shell Selection Sort (N/2^k),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Hibbard),19,54,94,143,193,243,300,360,420,480,540,600,663,733,803,873,943,1013,1083,1153,1223,1293,1363,1433,1503,1578,1658,1738,1818,1898,1978,2058,2138,2218,2298,2378,2458,2538,2618,2698,2778,2858,2938,3018,3098,3178,3258,3338,3418,3498,4630,5104,5418,5856,6004,6193,6305,6486,6733,6943,7227,7482,7612,7868,8098,8230,8537,8747,8761,9005,9355,9467,9731,9895,9986,10026,10172,10458,10721,10933,11092,11220,11464,11740,11775,12071,12171,12220,12664,12751,13090,13363,13460,13655,13707,13977,14372,14401,14682,14732
Shell Bubble Sort (Hibbard),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,1437,1661,2009,2067,2166,2188,2279,2436,2556,2750,2915,2955,3121,3261,3303,3520,3640,3564,3718,3978,4000,4174,4248,4249,4199,4255,4451,4624,4746,4815,4853,5007,5193,5138,5344,5354,5313,5667,5664,5913,6096,6103,6208,6170,6350,6655,6594,6785,6745
Shell Selection Sort (Hibbard),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Knuth),15,35,55,102,132,162,192,222,252,282,312,422,462,502,542,582,622,662,702,742,782,822,862,902,942,982,1022,1062,1102,1142,1182,1222,1262,1302,1342,1382,1671,1721,1771,1821,1871,1921,1971,2021,2071,2121,2171,2221,2271,2321,3351,3759,4035,4295,4547,4936,5201,5214,5414,5583,5719,5993,6314,6554,6679,6711,7010,7221,7367,7520,7626,7720,7968,8137,8297,8559,8754,8969,9077,9260,9529,9717,9790,10279,10350,10529,10565,10757,10990,11182,11312,11747,11810,11863,11904,12124,12354,12393,12633,12752
