Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,45,190,435,780,1225,1770,2415,3160,4005,4950,5995,7140,8385,9730,11175,12720,14365,16110,17955,19900,21945,24090,26335,28680,31125,33670,36315,39060,41905,44850,47895,51040,54285,57630,61075,64620,68265,72010,75855,79800,83845,87990,92235,96580,101025,105570,110215,114960,119805,124750,129795,134940,140185,145530,150975,156520,162165,167910,173755,179700,185745,191890,198135,204480,210925,217470,224115,230860,237705,244650,251695,258840,266085,273430,280875,288420,296065,303810,311655,319600,327645,335790,344035,352380,360825,369370,378015,386760,395605,404550,413595,422740,431985,441330,450775,460320,469965,479710,489555,499500
Insertion Sort,15,84,192,353,556,807,1109,1393,1792,2356,3039,3832,4247,4853,5515,6053,6891,8081,9203,9919,10766,11626,12705,13780,15109,16370,17846,19151,21112,23251,25053,26281,27800,29892,31509,33228,35508,37653,40046,42051,44097,45775,47514,49550,51190,52510,55254,57966,60803,62896,64578,66626,70276,72392,74671,77200,79455,83217,85923,88991,92583,95967,98917,101859,105817,108551,111904,115240,119085,122488,127034,129647,132945,137282,141684,146301,149874,153518,157984,163077,168753,173590,178590,183022,187053,192161,196402,199349,202883,209080,214170,218697,223132,229454,234063,240901,244663,250431,256970,260198
Selection Sort,45,190,435,780,1225,1770,2415,3160,4005,4950,5995,7140,8385,9730,11175,12720,14365,16110,17955,19900,21945,24090,26335,28680,31125,33670,36315,39060,41905,44850,47895,51040,54285,57630,61075,64620,68265,72010,75855,79800,83845,87990,92235,96580,101025,105570,110215,114960,119805,124750,129795,134940,140185,145530,150975,156520,162165,167910,173755,179700,185745,191890,198135,204480,210925,217470,224115,230860,237705,244650,251695,258840,266085,273430,280875,288420,296065,303810,311655,319600,327645,335790,344035,352380,360825,369370,378015,386760,395605,404550,413595,422740,431985,441330,450775,460320,469965,479710,489555,499500
Shell Sort (N/2^k),30,90,137,278,311,381,523,708,685,920,939,969,1201,1296,1389,1905,1706,1725,1844,2140,2105,2293,2319,2601,2640,3151,3403,3301,3459,3295,3532,5009,3799,3944,4077,4238,4323,4390,5695,5077,5304,5201,5379,5625,6115,5732,5833,6451,6246,6296,6211,7873,7626,7620,7765,8114,7473,8811,8150,8170,9190,8361,8711,12308,10157,9619,9536,9428,9606,9516,11423,10395,10204,10292,10495,11000,14596,13205,12874,12475,12554,12444,12355,12853,12497,11972,13019,13480,13866,15139,14017,13538,14210,14810,13683,16713,14940,15165,14551,14651
Shell Bubble Sort (N/2^k),96,536,1209,2826,4409,6354,10986,14226,18117,22209,27012,31974,45696,53091,61012,69066,78222,87642,97920,107859,119032,130797,142849,155274,168860,215476,232799,250071,268152,287212,306868,326026,347257,368582,391135,413082,436590,460820,484479,509259,535710,561712,589475,616777,644549,673919,703855,733194,764865,796360,829353,994566,1033579,1073444,1113426,1153771,1196297,1237477,1281505,1324762,1369138,1414963,1461424,1505706,1554232,1602412,1652460,1700872,1751775,1803560,1854577,1906542,1961098,2014455,2070523,2125410,2179229,2236944,2295265,2352259,2412815,2472755,2534833,2593882,2656655,2720340,2783772,2847357,2913943,2977124,3045202,3111689,3179505,3249140,3319351,3386874,3459460,3531160,3605268,3676610
Shell Selection Sort (N/2^k),70,320,635,1380,1906,2688,4600,5760,7259,7919,9548,11109,16314,18884,21496,23600,26619,29662,33024,32369,35521,38951,41774,45275,49106,66288,71466,76648,81482,87171,92921,95680,101739,107832,114251,120080,126690,133605,124787,131069,137690,143758,150669,157556,161679,168920,176190,183018,190711,198412,206410,267480,277720,288280,298352,309104,320237,328528,339945,351371,362490,374454,386482,385600,397739,409912,422421,434380,447103,460139,470397,483549,497066,510080,523951,537820,489850,502638,515462,527869,541143,554431,568027,578800,592519,606522,620024,634171,648656,650756,665289,679799,693979,708968,723986,736389,751809,767234,782959,798131
Shell Sort (Hibbard),29,76,137,216,308,376,485,579,658,778,874,946,1065,1153,1321,1388,1530,1664,1757,1821,1961,2106,2232,2283,2487,2671,2741,2859,3017,3148,3325,3414,3489,3709,3823,3951,4241,4354,4432,4550,4705,4928,5071,5208,5366,5440,5549,5708,5856,6057,6211,6390,6618,6822,6941,7224,7300,7456,7544,7577,7894,7888,8029,8307,8338,8589,8592,8787,9016,9089,9323,9569,9661,9997,10195,10216,10355,10414,10842,11093,11140,11415,11291,11401,11776,11757,11958,12161,12340,12577,12739,12825,13054,13124,13501,13610,13527,13711,13880,14043
Shell Bubble Sort (Hibbard),79,449,1209,2414,4119,6324,9057,12387,16317,20847,25977,31707,38043,45058,52773,61188,70303,80118,90633,101848,113763,126378,139693,153708,168423,183853,200073,217093,234913,253533,272953,293173,314193,336013,358633,382053,406273,431293,457113,483733,511153,539373,568393,598213,628833,660253,692473,725493,759313,793933,829353,865618,902783,940848,979813,1019678,1060443,1102108,1144673,1188138,1232503,1277768,1323933,1370998,1418963,1467828,1517593,1568258,1619823,1672288,1725653,1779918,1835083,1891148,1948113,2005978,2064743,2124408,2184973,2246438,2308803,2372068,2436233,2501298,2567263,2634128,2701893,2770558,2840123,2910588,2981953,3054218,3127383,3201448,3276413,3352278,3429043,3506708,3585273,3664738
Shell Selection Sort (Hibbard),60,271,635,1166,1850,2687,3696,4864,6183,7668,9308,11100,13064,15196,17482,19930,22536,25294,28215,31304,34544,37947,41508,45222,49096,53149,57366,61741,66279,70968,75816,80831,86003,91334,96825,102471,108274,114240,120377,126673,133129,139739,146509,153436,160529,167781,175190,182757,190481,198363,206410,214647,223040,231592,240303,249167,258196,267389,276736,286244,295910,305729,315709,325864,336175,346648,357280,368064,379009,390120,401388,412814,424402,436142,448040,460105,472340,484741,497304,510020,522892,535929,549128,562481,576001,589672,603498,617490,631643,645961,660445,675083,689872,704830,719945,735217,750657,766249,781995,797906
Shell Sort (Knuth),23,67,121,199,318,395,509,630,720,822,949,961,1046,1110,1264,1340,1483,1586,1718,1766,1882,2022,2188,2248,2436,2426,2646,2778,2891,3172,3346,3370,3619,3695,3969,4140,4037,4298,4513,4438,4608,4694,4872,4997,5146,5335,5456,5599,5669,5890,6012,6235,6357,6443,6472,6649,6887,7071,7225,7395,7622,7709,8003,8089,8460,8604,8589,8845,9165,9316,9403,9416,9740,9713,9886,9867,10053,10183,10501,10525,10877,10851,11178,11311,11781,11714,11948,11939,12173,12318,12501,12561,12816,12927,13112,13153,13368,13487,13828,13896
