Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,15,84,192,353,556,807,1109,1393,1792,2356,3039,3832,4247,4853,5515,6053,6891,8081,9203,9919,10766,11626,12705,13780,15109,16370,17846,19151,21112,23251,25053,26281,27800,29892,31509,33228,35508,37653,40046,42051,44097,45775,47514,49550,51190,52510,55254,57966,60803,62896,64578,66626,70276,72392,74671,77200,79455,83217,85923,88991,92583,95967,98917,101859,105817,108551,111904,115240,119085,122488,127034,129647,132945,137282,141684,146301,149874,153518,157984,163077,168753,173590,178590,183022,187053,192161,196402,199349,202883,209080,214170,218697,223132,229454,234063,240901,244663,250431,256970,260198
Insertion Sort,24,103,221,392,605,866,1178,1472,1881,2455,3148,3951,4376,4992,5664,6212,7060,8260,9392,10118,10975,11845,12934,14019,15358,16629,18115,19430,21401,23550,25362,26600,28129,30231,31858,33587,35877,38032,40435,42450,44506,46194,47943,49989,51639,52969,55723,58445,61292,63395,65087,67145,70805,72931,75220,77759,80024,83796,86512,89590,93192,96586,99546,102498,106466,109210,112573,115919,119774,123187,127743,130366,133674,138021,142433,147060,150643,154297,158773,163876,169562,174409,179419,183861,187902,193020,197271,200228,203772,209979,215079,219616,224061,230393,235012,241860,245632,251410,257959,261197
Selection Sort,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
Shell Sort (N/2^k),33,98,152,295,333,409,556,741,730,967,1008,1036,1267,1370,1469,1977,1795,1819,1949,2232,2216,2407,2446,2720,2767,3278,3544,3448,3617,3461,3730,5169,4002,4132,4279,4424,4533,4593,5906,5276,5542,5433,5636,5863,6362,5971,6088,6686,6529,6562,6496,8120,7915,7904,8049,8397,7784,9106,8484,8483,9503,8698,9067,12625,10507,9973,9918,9776,9992,9893,11808,10741,10632,10700,10912,11405,14998,13604,13306,12876,13024,12894,12861,13310,12947,12465,13525,13940,14346,15638,14529,14029,14728,15315,14214,17209,15487,15721,15142,15186
Shell Bubble Sort (N/2^k),11,36,58,133,130,165,203,339,276,464,453,432,485,527,565,1015,771,735,803,1029,952,1082,1061,1276,1261,1456,1650,1485,1584,1357,1555,2927,1688,1748,1823,1900,1938,1927,3172,2473,2667,2489,2620,2778,3208,2746,2792,3322,3093,3056,2918,3958,3672,3580,3645,3914,3219,4463,3759,3679,4619,3733,4021,7503,5303,4689,4552,4332,4467,4287,6123,4977,4786,4775,4905,5319,8835,7360,6981,6473,6539,6329,6214,6586,6142,5579,6559,6895,7219,8434,7243,6664,7283,7789,6607,9525,7721,7875,7214,7180
Shell Selection Sort (N/2^k),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Hibbard),32,84,152,232,327,404,515,613,694,822,923,1006,1128,1220,1396,1466,1614,1752,1856,1924,2071,2223,2352,2409,2622,2806,2880,2997,3154,3293,3475,3569,3650,3874,3995,4126,4426,4547,4630,4751,4917,5145,5292,5432,5594,5674,5794,5964,6125,6336,6496,6681,6917,7123,7242,7527,7602,7764,7856,7896,8216,8210,8352,8634,8664,8922,8933,9135,9366,9445,9689,9940,10036,10377,10589,10616,10759,10825,11261,11514,11566,11849,11733,11849,12227,12215,12421,12626,12811,13056,13229,13325,13564,13645,14031,14153,14080,14275,14457,14622
Shell Bubble Sort (Hibbard),13,30,58,89,134,161,215,253,274,342,383,406,465,487,593,593,671,739,773,771,848,930,989,976,1119,1228,1222,1259,1336,1395,1497,1511,1512,1656,1697,1748,1968,2009,2012,2053,2139,2287,2354,2414,2496,2496,2536,2626,2707,2838,2918,3014,3160,3276,3305,3500,3485,3557,3559,3509,3739,3643,3695,3887,3827,3995,3916,4028,4169,4158,4312,4473,4479,4730,4852,4789,4842,4818,5164,5327,5289,5482,5276,5302,5590,5488,5604,5719,5814,5969,6052,6058,6207,6198,6494,6526,6363,6468,6560,6635
Shell Selection Sort (Hibbard),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Knuth),26,75,129,215,336,415,531,653,744,848,979,1014,1099,1165,1323,1399,1543,1651,1787,1837,1954,2098,2265,2326,2515,2504,2726,2859,2976,3259,3435,3461,3710,3786,4061,4232,4187,4450,4667,4596,4768,4856,5035,5165,5315,5505,5629,5775,5846,6067,6189,6413,6539,6625,6656,6835,7074,7262,7416,7588,7816,7902,8196,8284,8658,8804,8789,9045,9370,9522,9610,9623,9949,9922,10097,10080,10267,10397,10717,10744,11104,11079,11407,11541,12012,11946,12181,12172,12406,12553,12737,12798,13053,13170,13358,13404,13619,13740,14083,14151
