Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,3724,6384,9044,11704,14364,17024,19684,22344,25004,27664,30324,32984,35644,38304,40964,43624,46284,48944,51604,54264,56924,59584,62244,64904,67564,70224,72884,75544,78204,80864,83524,86184,88844,91504,94164,96824,99484,102144,104804,107464,110124,112784,115444,118104,120764,123424,126084,128744,131404,134064,136724,139384,142044,144704,147364,150024,152684,155344,158004,160664,163324,165984,168644,171304,173964,176624,179284,181944,184604,187264,189924,192584,195244
Insertion Sort,9,19,29,39,49,59,69,79,89,99,109,119,129,139,149,159,169,179,189,199,209,219,229,239,249,259,1333,4003,6673,9343,12013,14683,17353,20023,22693,25363,28033,30703,33373,36043,38713,41383,44053,46723,49393,52063,54733,57403,60073,62743,65413,68083,70753,73423,76093,78763,81433,84103,86773,89443,92113,94783,97453,100123,102793,105463,108133,110803,113473,116143,118813,121483,124153,126823,129493,132163,134833,137503,140173,142843,145513,148183,150853,153523,156193,158863,161533,164203,166873,169543,172213,174883,177553,180223,182893,185563,188233,190903,193573,196243
Selection Sort,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
Shell Sort (N/2^k),22,62,94,162,203,244,353,402,454,503,555,604,782,843,904,962,1024,1084,1146,1203,1264,1325,1385,1444,1506,1822,2194,2493,2705,2750,2915,3100,3114,3102,3264,3382,3375,3748,3698,3877,4015,3954,4076,4303,4362,4411,4456,4646,4836,4508,4946,5204,5035,5190,5494,5809,5831,6253,6263,6362,6202,6711,6776,7104,7018,7150,7340,7146,7467,7488,7011,7746,8048,7751,8397,8516,8317,8438,8727,8817,8719,9111,9181,9010,8339,9272,9488,9747,9745,9886,10112,10003,10307,10112,9913,10514,10504,10912,10806,10276
Shell Bubble Sort (N/2^k),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,530,672,646,740,858,800,718,808,858,780,1082,964,1074,1140,1010,1060,1218,1208,1186,1160,1282,1400,1002,1368,1042,792,866,1090,1326,1266,1610,1538,1558,1318,1746,1730,1982,1814,1866,1974,1702,1942,1882,1326,1982,2202,1826,2390,2430,2154,2194,2402,2414,2234,2546,2534,2286,1534,2386,2522,2702,2618,2682,2826,2638,2862,2586,2306,2830,2738,3066,2878,2270
Shell Selection Sort (N/2^k),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Hibbard),19,54,94,143,193,243,300,360,420,480,540,600,663,733,803,873,943,1013,1083,1153,1223,1293,1363,1433,1503,1578,2122,2324,2476,2544,2834,2918,2734,3158,3324,3228,3466,3576,3568,3702,3828,4058,4190,4202,4322,4386,4604,4684,4526,4900,4946,4771,5155,5347,5477,5609,5719,5865,6005,6071,6303,6367,6503,6579,6401,6869,7039,6989,7279,7393,7379,7567,7637,7851,7921,7939,7963,8023,8347,8485,8517,8829,8919,8719,9177,9355,9379,9539,9553,9719,9857,9865,10171,10297,10371,10485,10467,10785,10889,10763
Shell Bubble Sort (Hibbard),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,586,658,646,856,860,596,940,1026,850,1008,1038,950,1004,1050,1200,1252,1184,1224,1208,1346,1346,1108,1402,1368,1104,1398,1500,1540,1582,1602,1658,1708,1684,1826,1800,1846,1832,1564,1942,2022,1882,2082,2106,2002,2100,2080,2204,2184,2112,2046,2016,2250,2298,2240,2462,2462,2172,2540,2628,2562,2632,2556,2632,2680,2598,2814,2850,2834,2858,2750,2978,2992,2776
Shell Selection Sort (Hibbard),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Knuth),15,35,55,102,132,162,192,222,252,282,312,422,462,502,542,582,622,662,702,742,782,822,862,902,942,982,1366,1510,1846,1930,1844,1988,2324,2408,2322,2466,2725,2833,2775,2753,3145,3301,3307,3309,3609,3693,3679,3705,3919,3919,3905,4091,4309,4387,4405,4615,4793,4795,4745,4979,5121,5039,4917,5309,5511,5529,5385,5801,5995,5973,5693,6133,6323,6261,5811,6439,6707,6709,6439,6931,7159,7153,6907,7263,7455,7435,7231,7519,7817,7881,7815,8047,8269,8293,8251,8415,8565,8539,8533,8713
