Algorithm,N=10,N=20,N=30,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200,N=210,N=220,N=230,N=240,N=250,N=260,N=270,N=280,N=290,N=300,N=310,N=320,N=330,N=340,N=350,N=360,N=370,N=380,N=390,N=400,N=410,N=420,N=430,N=440,N=450,N=460,N=470,N=480,N=490,N=500,N=510,N=520,N=530,N=540,N=550,N=560,N=570,N=580,N=590,N=600,N=610,N=620,N=630,N=640,N=650,N=660,N=670,N=680,N=690,N=700,N=710,N=720,N=730,N=740,N=750,N=760,N=770,N=780,N=790,N=800,N=810,N=820,N=830,N=840,N=850,N=860,N=870,N=880,N=890,N=900,N=910,N=920,N=930,N=940,N=950,N=960,N=970,N=980,N=990,N=1000
Bubble Sort,45,190,435,780,1225,1770,2415,3160,4005,4950,5995,7140,8385,9730,11175,12720,14365,16110,17955,19900,21945,24090,26335,28680,31125,33670,36315,39060,41905,44850,47895,51040,54285,57630,61075,64620,68265,72010,75855,79800,83845,87990,92235,96580,101025,105570,110215,114960,119805,124750,129695,134540,139285,143930,148475,152920,157265,161510,165655,169700,173645,177490,181235,184880,188425,191870,195215,198460,201605,204650,207595,210440,213185,215830,218375,220820,223165,225410,227555,229600,231545,233390,235135,236780,238325,239770,241115,242360,243505,244550,245495,246340,247085,247730,248275,248720,249065,249310,249455,249500
Insertion Sort,54,209,464,819,1274,1829,2484,3239,4094,5049,6104,7259,8514,9869,11324,12879,14534,16289,18144,20099,22154,24309,26564,28919,31374,33929,36584,39339,42194,45149,48204,51359,54614,57969,61424,64979,68634,72389,76244,80199,84254,88409,92664,97019,101474,106029,110684,115439,120294,125249,130204,135059,139814,144469,149024,153479,157834,162089,166244,170299,174254,178109,181864,185519,189074,192529,195884,199139,202294,205349,208304,211159,213914,216569,219124,221579,223934,226189,228344,230399,232354,234209,235964,237619,239174,240629,241984,243239,244394,245449,246404,247259,248014,248669,249224,249679,250034,250289,250444,250499
Selection Sort,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
Shell Sort (N/2^k),35,98,163,254,308,412,554,626,691,763,848,1000,1111,1315,1329,1490,1565,1648,1743,1823,2057,2021,2178,2356,2431,2610,2715,3047,3114,3104,3352,3458,3543,3636,3741,3832,3980,4050,4471,4243,4328,4740,4845,4697,5019,5041,5257,5428,5513,5606,5706,5974,6474,6179,6316,6714,6783,6838,6915,6844,6880,7196,7084,7318,7412,7487,7588,7646,7747,7867,7964,7953,8051,8234,8305,8284,8320,8609,8502,8567,8704,8769,8934,9081,9107,9308,9374,9396,9340,9546,9620,9752,9830,9883,10038,10200,10101,10365,10459,10338
Shell Bubble Sort (N/2^k),13,36,69,92,105,168,201,224,237,260,293,396,329,472,425,528,541,564,597,620,793,696,793,912,925,788,821,1084,1081,1000,1177,1216,1229,1252,1285,1308,1385,1384,1737,1440,1453,1796,1829,1612,1865,1816,1961,2064,2077,2100,2128,1812,2231,1855,1912,2231,2218,2195,2190,2040,1996,2231,2038,2196,2208,2203,2222,2202,2222,2261,2279,2189,2205,2309,2298,2198,2157,2365,2177,2164,2219,2204,2287,2357,2302,2422,2408,2351,2213,2342,2334,2387,2385,2357,2431,2516,2335,2519,2531,2332
Shell Selection Sort (N/2^k),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Hibbard),30,78,163,199,264,385,427,524,581,672,783,866,1070,1017,1096,1245,1246,1379,1638,1577,1644,1913,1874,1999,2322,2410,2293,2346,2575,2532,2655,3022,2817,2902,3227,3152,3367,3790,3625,3726,3779,3792,4043,4154,4393,4438,4439,4736,4875,5058,5706,5302,5357,5360,5374,5563,5642,5866,5766,5835,6119,6187,6330,6712,6554,6594,6892,6815,6983,7342,7260,7386,7605,7669,7855,8177,8336,8164,8253,8442,8447,8572,8804,8818,8931,9123,9179,9297,9550,9560,9666,9761,9883,10005,10108,10256,10337,10449,10561,10656
Shell Bubble Sort (Hibbard),11,24,69,56,71,142,127,164,161,192,243,266,407,284,293,372,303,366,555,424,421,620,511,566,819,832,635,608,757,634,677,964,679,684,929,774,909,1252,1007,1028,1001,934,1105,1136,1295,1260,1181,1398,1457,1560,2128,1635,1600,1513,1437,1536,1525,1659,1469,1448,1642,1620,1673,1965,1717,1667,1875,1708,1786,2055,1883,1919,2048,2022,2118,2350,2419,2157,2156,2255,2170,2205,2347,2271,2294,2396,2362,2390,2553,2473,2489,2494,2526,2558,2571,2629,2620,2642,2664,2669
Shell Selection Sort (Hibbard),30,80,120,200,250,300,420,480,540,600,660,720,910,980,1050,1120,1190,1260,1330,1400,1470,1540,1610,1680,1750,2080,2160,2240,2320,2400,2480,2560,2640,2720,2800,2880,2960,3040,3120,3200,3280,3360,3440,3520,3600,3680,3760,3840,3920,4000,4080,4680,4770,4860,4950,5040,5130,5220,5310,5400,5490,5580,5670,5760,5850,5940,6030,6120,6210,6300,6390,6480,6570,6660,6750,6840,6930,7020,7110,7200,7290,7380,7470,7560,7650,7740,7830,7920,8010,8100,8190,8280,8370,8460,8550,8640,8730,8820,8910,9000
Shell Sort (Knuth),28,105,168,234,283,368,451,550,729,756,841,938,853,892,1043,1350,1219,1252,1429,1802,1625,1652,1855,2294,2071,2092,2321,2826,2557,2572,2827,3398,3083,3092,3373,4010,3210,3093,3364,3337,3358,3341,3750,3809,3786,3869,4416,4561,4466,4629,4618,4533,4639,4745,4902,4933,5138,5205,5486,5580,5685,5782,5734,5838,5857,6012,6095,6168,6271,6477,6640,6683,6887,6956,6809,6906,7046,7150,7105,7274,7372,7519,7531,7701,7932,7835,7834,7912,8088,8089,8112,8214,8336,8413,8452,8533,8639,8698,8755,8820
